ID;Type;Type;Type;Zone;Zone;Zone;Nombre de places (taille voiture);Longueur (m);Orientation;Oriëntatie;Orientation;Google Maps;Google Street View;Coordonnées géographiques
92351;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.847977865049955%2C4.346367577966571;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.847977865049955%2C4.346367577966571;50.847977865049955, 4.346367577966571
95213;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.8434028946224%2C4.348766842027392;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8434028946224%2C4.348766842027392;50.8434028946224, 4.348766842027392
95238;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;2;6;En épi;Op de kolf;On the cob;https://www.google.com/maps/search/?api=1&query=50.843056414385764%2C4.361184804865939;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.843056414385764%2C4.361184804865939;50.843056414385764, 4.361184804865939
98651;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.8781208683145%2C4.354376866618257;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8781208683145%2C4.354376866618257;50.8781208683145, 4.354376866618257
98716;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.87443622940659%2C4.360046716324801;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87443622940659%2C4.360046716324801;50.87443622940659, 4.360046716324801
99425;PMR;PBM;PRM;Zone bleue;Blauwe zone;Blue area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.895289194652214%2C4.384077403955383;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.895289194652214%2C4.384077403955383;50.895289194652214, 4.384077403955383
101775;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.84599826524816%2C4.365877696706664;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.84599826524816%2C4.365877696706664;50.84599826524816, 4.365877696706664
101938;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.871252580703405%2C4.345142537004893;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.871252580703405%2C4.345142537004893;50.871252580703405, 4.345142537004893
102293;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.83980476890098%2C4.351368170442166;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83980476890098%2C4.351368170442166;50.83980476890098, 4.351368170442166
117654;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;2;12;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.85159004385677%2C4.367753960841204;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85159004385677%2C4.367753960841204;50.85159004385677, 4.367753960841204
117667;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.841252719601684%2C4.346138236783712;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.841252719601684%2C4.346138236783712;50.841252719601684, 4.346138236783712
117884;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.8613390029377%2C4.353354930935572;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.8613390029377%2C4.353354930935572;50.8613390029377, 4.353354930935572
117971;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.86658278179364%2C4.358019585935227;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.86658278179364%2C4.358019585935227;50.86658278179364, 4.358019585935227
117974;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.870968770945424%2C4.361183149701881;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.870968770945424%2C4.361183149701881;50.870968770945424, 4.361183149701881
119536;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.82456387235903%2C4.367083753441171;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.82456387235903%2C4.367083753441171;50.82456387235903, 4.367083753441171
121105;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;2;11;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.83757065544546%2C4.342798513049972;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83757065544546%2C4.342798513049972;50.83757065544546, 4.342798513049972
121409;PMR;PBM;PRM;Zone verte;Groene zone;Green area;2;6;Perpendiculaire;Loodrecht;Perpendicular;https://www.google.com/maps/search/?api=1&query=50.89329817342104%2C4.328812859027203;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89329817342104%2C4.328812859027203;50.89329817342104, 4.328812859027203
121432;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.88872060257174%2C4.342797691114833;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88872060257174%2C4.342797691114833;50.88872060257174, 4.342797691114833
121721;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.838886541272906%2C4.35306460233102;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.838886541272906%2C4.35306460233102;50.838886541272906, 4.35306460233102
122122;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.89546647837034%2C4.363504025891663;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89546647837034%2C4.363504025891663;50.89546647837034, 4.363504025891663
124727;PMR;PBM;PRM;Zone grise;Grijze zone;Grey area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.847952649253756%2C4.345194846909088;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.847952649253756%2C4.345194846909088;50.847952649253756, 4.345194846909088
124959;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.88402674529863%2C4.339789809816518;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88402674529863%2C4.339789809816518;50.88402674529863, 4.339789809816518
125592;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.892452189527695%2C4.328728724915004;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.892452189527695%2C4.328728724915004;50.892452189527695, 4.328728724915004
128467;PMR;PBM;PRM;Zone verte;Groene zone;Green area;1;6;Parallèle;Parallel;Parallel;https://www.google.com/maps/search/?api=1&query=50.89124661220344%2C4.374381035509487;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89124661220344%2C4.374381035509487;50.89124661220344, 4.374381035509487
