Année;Domaine;Domein;Code catégorie;Catégorie principale;Hoofdcategorie;Total global;Total commune;Total Région
2016;PE introduits;MV ingediend;74;Bouteilles, bonbonnes, réservoirs;Gasflessen, spuitbus, tanks;0;0;0
2016;PE introduits;MV ingediend;84;Laboratoires de recherche, institutions d'enseigne;Onderzoekslabo-ratoria onder-wijsinstellin-gen;0;0;0
2016;PE introduits;MV ingediend;88;Combustibles, diesel, citerne à mazout,;Brandstoffen, mazout, stookolie, diesel;0;0;0
2016;PE introduits;MV ingediend;100;Métaux;Metaal;0;0;0
2016;PE introduits;MV ingediend;122;Fruits, légumes, grossistes;Groenten, fruit, groothandels;0;0;0
2016;PE introduits;MV ingediend;126;Médicaments, produits de beauté;Schoonheidsproducten, medicamenten, geneesmiddelen;0;0;0
2016;PE introduits;MV ingediend;141;Tabac (dépôts);Tabak (opslagplaat-sen);0;0;0
2016;PE introduits;MV ingediend;224;Garages, parkings;Garages, parkings;0;0;0
2016;PE délivrés;MV afgeleverd;23;Boulangeries patisseries, patissier, alimentaire, pains, tartes;Bakkerijen, patisserie, voeding, taarten, brood;7;4;3
2016;PE délivrés;MV afgeleverd;142;Textile, tissus, vêtements,;Textiel, stoffen, kleren;7;2;5
2016;PE délivrés;MV afgeleverd;112;Produits phytopharmaceutiques (dépôt);Bestrijdingsmid-delen (opslagplaatsen);2;0;2
2016;PE délivrés;MV afgeleverd;125;Médicaments, produits de beauté;Schoonheidsproducten, medicamenten, geneesmiddelen;2;0;2
2016;PE délivrés;MV afgeleverd;144;Textile (traitement mécanique);Textiel (mechanische bewerking);1;0;1
2016;PE délivrés;MV afgeleverd;106;Os, sous-produits animaux;Beenderen, dierlijke bijproducten;0;0;0
2016;PE délivrés;MV afgeleverd;131;Puits perdus;Zinkputten;0;0;0
2016;PE délivrés;MV afgeleverd;165;Construction métallique, voitures;Metaalverwerkende nijverheid, wagens;0;0;0
2015;PU introduits;SV ingediend;7.;Modifier la destination ou l'utilisation d'un bien NON BÂTI (cfr chap. II et chap. III, section 5 de l'arrêté);De bestemming of het gebruik van een niet gebouwd goed wijzigen (cf. hfdstk. II en hfdstk. III, afdeling 5 van het besluit);4;3;1
2015;PE introduits;MV ingediend;153;Ventilation;Ventilatie;18;3;15
2015;PE introduits;MV ingediend;80;Huiles résiduaires (dépôts);Afvaloliën  (opslagplaatsen);13;7;6
2015;PE introduits;MV ingediend;132;Refroidissement (installations de);Koeling (inrichtingen);3;3;0
2015;PE introduits;MV ingediend;79;Hôpitaux, höpital, homes, maisons de retraite;Hospitaal, hospitalen, home, rusthuis, rust- en verzorgingstehuis;2;0;2
2015;PE introduits;MV ingediend;68;Garages, parkings;Garages, parkings;1;1;0
2015;PE introduits;MV ingediend;22;Boues, terres excavées (traitement);Slib, uitgegraven grond (verwerking);0;0;0
2015;PE introduits;MV ingediend;47;Déchets non dangereux;Niet gevaarlijke afvalstoffen;0;0;0
2015;PE introduits;MV ingediend;55;Electricité, moulin à vent;Windmolens, windturbine, elektriciteit;0;0;0
2015;PE introduits;MV ingediend;57;Epices;Kruiden;0;0;0
2015;PE introduits;MV ingediend;71;Gaz;Gas;0;0;0
2015;PE introduits;MV ingediend;151;Stationnement (véhicules);Parkeren (voertuigen);0;0;0
2015;PE délivrés;MV afgeleverd;48;Déchets non dangereux (traitement mécanique);Niet gevaarlijke afvalstoffen (mechanische verwerking);19;2;17
2015;PE délivrés;MV afgeleverd;85;Laboratoires;Laboratoria;9;0;9
2015;PE délivrés;MV afgeleverd;56;Infiltration, STEP;Rietvelden, infiltratie, sterfputten;0;0;0
2015;PE délivrés;MV afgeleverd;72;Réservoirs;Gasreservoirs;0;0;0
2015;PE délivrés;MV afgeleverd;74;Bouteilles, bonbonnes;Gasflessen, spuitbus;0;0;0
2015;PE délivrés;MV afgeleverd;106;Déchets de cuisine et de table, huiles et graisses de friture usagées, abats, anciennes denrées alimentaires, peaux, fourrure, laine, cadavres;Keukenafval en etensresten, gebruikte frituurolie en -vetten, slachtafval, voormalige voedingsmiddelen, huiden, pelzen, wol, kadavers;0;0;0
2015;PE délivrés;MV afgeleverd;123;Marbre, pierre bleue;Marmer, blauwe steen;0;0;0
2015;PE délivrés;MV afgeleverd;151;Véhicules seconde main, showroom, garage;Showroom, tweedehandswagens, garage;0;0;0
2015;PE délivrés;MV afgeleverd;162;GSM;GSM;0;0;0
2014;PE introduits;MV ingediend;70;Gaz;Gas;4;0;4
2014;PE introduits;MV ingediend;124;Produits minéraux (dépôts fermés);Minerale producten (overdekte opslagplaatsen);3;1;2
2014;PE introduits;MV ingediend;44;Déchetteries, parc, container, centre de tri;Afvalpark, containerpark, sorteercentrum;0;0;0
2014;PE introduits;MV ingediend;88;Combustibles, essence;Brandstoffen, benzine;0;0;0
