Classe PEB;Classe PEB principale;Émission C02 kWh/m²/an;Type;Type;Type;Catégorie de logement;Woningcategorie;Housing category;ID Lot;ID Immeuble;Adresse;Adres;Code postal;Commune;Gemeente;Quartier;Wijk;Coordonnées géographiques
C-;C;29;Appartement;Appartement;Appartment;Contrat de quartier;Wijkcontract;Neighbourhood contract;05032;0360;RUE LEOPOLD I 62/74;62/74 LEOPOLD I-STRAAT;1020;Laeken;Laken;Laeken;Laken;50.8786913, 4.3515534
C;C;10;Appartement;Appartement;Appartment;Contrat de quartier;Wijkcontract;Neighbourhood contract;05047;0360;RUE LEOPOLD I 62/74;62/74 LEOPOLD I-STRAAT;1020;Laeken;Laken;Laeken;Laken;50.8786913, 4.3515534
C+;C;21;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;05406;0390;RUE STEPHANIE 87;87 STEFANIASTRAAT;1020;Laeken;Laken;Laeken;Laken;50.8775992, 4.3521652
A;A;7;Appartement;Appartement;Appartment;Moyen avec conditions revenus;Middenklasse met inkomensvoorwaarden;Middle with income conditions;05407;0390;RUE STEPHANIE 87;87 STEFANIASTRAAT;1020;Laeken;Laken;Laeken;Laken;50.8775992, 4.3521652
C;C;13;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06048;0409;CHAUSSEE DE VILVORDE 10-14;10-14 VILVOORDSESTEENWEG;1020;Laeken;Laken;Laeken;Laken;50.8747194, 4.3610132
C+;C;10;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06029;0409;CHAUSSEE DE VILVORDE 10-14;10-14 VILVOORDSESTEENWEG;1020;Laeken;Laken;Laeken;Laken;50.8747194, 4.3610132
C;C;9;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06031;0409;CHAUSSEE DE VILVORDE 10-14;10-14 VILVOORDSESTEENWEG;1020;Laeken;Laken;Laeken;Laken;50.8747194, 4.3610132
C+;C;10;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06026;0409;CHAUSSEE DE VILVORDE 10-14;10-14 VILVOORDSESTEENWEG;1020;Laeken;Laken;Laeken;Laken;50.8747194, 4.3610132
B-;B;14;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06024;0409;CHAUSSEE DE VILVORDE 10-14;10-14 VILVOORDSESTEENWEG;1020;Laeken;Laken;Laeken;Laken;50.8747194, 4.3610132
C+;C;13;Appartement;Appartement;Appartment;Moyen;Middenklasse;Middle;06036;0409;CHAUSSEE DE VILVORDE 10-14;10-14 VILVOORDSESTEENWEG;1020;Laeken;Laken;Laeken;Laken;50.8747194, 4.3610132
